date,addrcode,province,district,subdist,province_en,district_en,subdist_en,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total
2016-02-01,810503,กระบี่,อ่าวลึก,นาเหนือ,Krabi,Ao Luek,Na Nuea,307,9,104,1,32,1,38,10,502
2016-02-01,810507,กระบี่,อ่าวลึก,เขาใหญ่,Krabi,Ao Luek,Khao Yai,253,16,146,2,80,0,55,3,555
2016-03-01,810604,กระบี่,ปลายพระยา,คีรีวง,Krabi,Plai Phraya,Khiri Wong,160,35,175,1,87,2,31,5,496
2016-02-01,810205,กระบี่,เขาพนม,หน้าเขา,Krabi,Khao Phanom,Na Khao,263,21,112,1,33,0,28,2,460
2016-02-01,810508,กระบี่,อ่าวลึก,คลองยา,Krabi,Ao Luek,Khlong Ya,214,18,143,1,48,0,36,2,462
2016-03-01,810506,กระบี่,อ่าวลึก,อ่าวลึกเหนือ,Krabi,Ao Luek,Ao Luek Nuea,367,36,236,1,136,2,103,12,893
2016-03-01,810501,กระบี่,อ่าวลึก,อ่าวลึกใต้,Krabi,Ao Luek,Ao Luek Tai,575,33,439,6,155,2,108,10,1328
2016-03-01,810509,กระบี่,อ่าวลึก,บ้านกลาง,Krabi,Ao Luek,Ban Klang,223,10,85,2,18,0,61,1,400
2016-03-01,810202,กระบี่,เขาพนม,เขาดิน,Krabi,Khao Phanom,Khao Din,566,46,303,2,98,0,80,8,1103
2016-02-01,810504,กระบี่,อ่าวลึก,คลองหิน,Krabi,Ao Luek,Khlong Hin,394,26,190,3,76,1,105,4,799
2016-02-01,810505,กระบี่,อ่าวลึก,อ่าวลึกน้อย,Krabi,Ao Luek,Ao Luek Noi,366,26,148,3,64,1,35,5,648
2016-03-01,810203,กระบี่,เขาพนม,สินปุน,Krabi,Khao Phanom,Sin Pun,254,32,260,0,48,1,60,5,660
2016-03-01,810204,กระบี่,เขาพนม,พรุเตียว,Krabi,Khao Phanom,Phru Tiao,251,14,165,1,24,0,68,3,526
2016-03-01,810111,กระบี่,เมืองกระบี่,ทับปริก,Krabi,Mueang Krabi,Thap Prik,68,4,31,1,12,1,27,2,146
2016-03-01,810201,กระบี่,เขาพนม,เขาพนม,Krabi,Khao Phanom,Khao Phanom,186,13,86,0,49,1,30,5,370
2016-03-01,810105,กระบี่,เมืองกระบี่,เขาคราม,Krabi,Mueang Krabi,Khao Khram,38,3,16,0,2,0,16,1,76
2016-03-01,810103,กระบี่,เมืองกระบี่,กระบี่น้อย,Krabi,Mueang Krabi,Krabi Noi,558,22,341,8,32,2,69,7,1039
2016-03-01,810206,กระบี่,เขาพนม,โคกหาร,Krabi,Khao Phanom,Khok Han,78,20,96,0,28,0,25,1,248
2016-03-01,810808,กระบี่,เหนือคลอง,ห้วยยูง,Krabi,Nuea Khlong,Huai Yung,269,12,217,3,40,2,80,11,634
2016-03-01,810106,กระบี่,เมืองกระบี่,เขาทอง,Krabi,Mueang Krabi,Khao Thong,153,19,138,4,21,1,58,2,396
2016-03-01,810407,กระบี่,คลองท่อม,เพหลา,Krabi,Khlong Thom,Phela,351,8,129,3,34,0,62,2,589
2016-03-01,810406,กระบี่,คลองท่อม,พรุดินนา,Krabi,Khlong Thom,Phru Din Na,412,17,134,3,48,2,55,3,674
2016-03-01,810805,กระบี่,เหนือคลอง,โคกยาง,Krabi,Nuea Khlong,Khok Yang,640,3,169,1,16,0,56,1,886
2016-03-01,810702,กระบี่,ลำทับ,ดินอุดม,Krabi,Lam Thap,Din Udom,51,8,104,1,16,1,21,0,202
2016-03-01,810701,กระบี่,ลำทับ,ลำทับ,Krabi,Lam Thap,Lam Thap,329,15,182,2,91,1,55,2,677
2016-03-01,810117,กระบี่,เมืองกระบี่,หนองทะเล,Krabi,Mueang Krabi,Nong Thale,114,17,154,2,13,0,33,5,338
2016-03-01,810703,กระบี่,ลำทับ,ทุ่งไทรทอง,Krabi,Lam Thap,Thung Sai Thong,268,12,124,1,68,0,46,3,522
2016-03-01,810801,กระบี่,เหนือคลอง,เหนือคลอง,Krabi,Nuea Khlong,Nuea Khlong,825,31,443,11,134,2,130,25,1601
2016-03-01,810115,กระบี่,เมืองกระบี่,ไสไทย,Krabi,Mueang Krabi,Sai Thai,171,10,97,1,16,1,41,2,339
2016-03-01,810116,กระบี่,เมืองกระบี่,อ่าวนาง,Krabi,Mueang Krabi,Ao Nang,81,6,100,1,7,2,23,3,223
2016-03-01,810118,กระบี่,เมืองกระบี่,คลองประสงค์,Krabi,Mueang Krabi,Khlong Prasong,16,2,16,1,0,0,5,0,40
